,Country,WEO,ISO,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,Continent
608,Mozambique,688.0,MOZ,31.0,41.0,48.0,54.0,36.0,59.0,54.0,78.0,81.0,69.0,66.0,53.0,60.0,94.0,73.0,71.0,107.0,101.0,96.0,Africa
609,Namibia,728.0,NAM,13.0,30.0,54.0,46.0,40.0,40.0,63.0,56.0,57.0,46.0,53.0,60.0,43.0,59.0,57.0,44.0,86.0,87.0,130.0,Africa
610,Nepal,558.0,NPL,453.0,616.0,945.0,1137.0,2095.0,2878.0,3158.0,3733.0,3472.0,4093.0,4514.0,7115.0,10166.0,11312.0,13046.0,12357.0,12926.0,12851.0,11610.0,Asia
611,Netherlands,138.0,NLD,773.0,1337.0,1679.0,1549.0,981.0,1303.0,1815.0,1651.0,1368.0,1240.0,1499.0,1321.0,1085.0,1091.0,1142.0,1195.0,1309.0,1319.0,1056.0,Europe
674,New Zealand,196.0,NZL,522.0,964.0,1205.0,1117.0,877.0,1131.0,1293.0,1100.0,1047.0,893.0,947.0,919.0,803.0,814.0,921.0,796.0,855.0,846.0,798.0,Oceania
675,Nicaragua,278.0,NIC,13327.0,20947.0,19634.0,10659.0,4094.0,4009.0,3305.0,4145.0,3716.0,3614.0,4137.0,3565.0,3401.0,3046.0,3048.0,2886.0,3324.0,3486.0,3072.0,Latin America and the Caribbean
676,Niger,692.0,NER,12.0,30.0,1330.0,1263.0,808.0,62.0,126.0,116.0,97.0,107.0,183.0,96.0,96.0,48.0,37.0,71.0,55.0,119.0,116.0,Africa
677,Nigeria,694.0,NGA,6742.0,7831.0,8253.0,8105.0,7872.0,9374.0,10597.0,13459.0,12448.0,12475.0,15253.0,13376.0,11824.0,13575.0,13840.0,12828.0,11542.0,14380.0,13539.0,Africa
709,Norway,142.0,NOR,307.0,459.0,547.0,431.0,320.0,405.0,423.0,481.0,343.0,350.0,407.0,334.0,339.0,276.0,335.0,271.0,310.0,362.0,290.0,Europe
710,Oman,449.0,OMN,40.0,51.0,55.0,61.0,76.0,122.0,101.0,155.0,103.0,70.0,74.0,63.0,60.0,74.0,73.0,90.0,85.0,116.0,104.0,Asia
711,Pakistan,564.0,PAK,13485.0,14504.0,16393.0,13694.0,9415.0,12086.0,14926.0,17418.0,13492.0,19719.0,21555.0,18258.0,15546.0,14740.0,13251.0,18612.0,18057.0,19313.0,17408.0,Asia
712,Palau,565.0,PLW,,3.0,,10.0,8.0,6.0,8.0,8.0,11.0,6.0,16.0,18.0,7.0,10.0,16.0,12.0,15.0,14.0,13.0,Oceania
713,Panama,283.0,PAN,1640.0,1829.0,1867.0,1680.0,1164.0,1417.0,1815.0,2418.0,1916.0,1678.0,1806.0,1536.0,1374.0,1281.0,1234.0,1095.0,1052.0,1029.0,889.0,Latin America and the Caribbean
714,Papua New Guinea,853.0,PNG,14.0,21.0,26.0,26.0,34.0,19.0,44.0,30.0,31.0,15.0,19.0,30.0,20.0,21.0,27.0,18.0,11.0,23.0,18.0,Oceania
715,Paraguay,288.0,PRY,216.0,338.0,401.0,356.0,207.0,328.0,516.0,719.0,545.0,481.0,530.0,467.0,500.0,467.0,448.0,391.0,382.0,434.0,391.0,Latin America and the Caribbean
